Disease1,Disease2,HPO-SIM
MESH:D024821,MESH:D003876,0.0
MESH:D024821,MESH:D003922,0.0
MESH:D024821,MESH:D003924,0.0
MESH:D024821,MESH:D004379,0.0
MESH:D024821,MESH:D004827,0.0
MESH:D024821,MESH:D004938,0.0
MESH:D024821,MESH:D005134,0.0
MESH:D024821,MESH:D005185,0.0
MESH:D024821,MESH:D005642,0.0
MESH:D024821,MESH:D005706,0.0
MESH:D024821,MESH:D005879,0.0
MESH:D024821,MESH:D005901,0.0
MESH:D024821,MESH:D005910,0.0
MESH:D024821,MESH:D005922,0.0
MESH:D024821,MESH:D006258,0.0
MESH:D024821,MESH:D006973,0.0
MESH:D024821,MESH:D007037,0.0
MESH:D024821,MESH:D007078,0.0
MESH:D024821,MESH:D007079,0.0
MESH:D024821,MESH:D007562,0.0
MESH:D024821,MESH:D007580,0.0
MESH:D024821,MESH:D051436,0.0
MESH:D024821,MESH:D007680,0.0
MESH:D024821,MESH:D007822,0.0
MESH:D024821,MESH:D007889,0.0
MESH:D024821,MESH:D007918,0.0
MESH:D024821,MESH:D008105,0.0
MESH:D024821,MESH:D008113,0.0
MESH:D024821,MESH:D029424,0.0
MESH:D024821,MESH:D008175,0.0
MESH:D024821,MESH:D008180,0.0
MESH:D024821,MESH:D008268,0.0
MESH:D024821,MESH:D008288,0.0
MESH:D024821,MESH:D008479,0.0
MESH:D024821,MESH:D008545,0.0
MESH:D024821,MESH:D008579,0.0
MESH:D024821,MESH:D009080,0.0
MESH:D024821,MESH:D009103,0.0
MESH:D024821,MESH:D009290,0.0
MESH:D024821,MESH:D009373,0.0
MESH:D024821,MESH:D009383,0.0
MESH:D024821,MESH:D009765,0.0
MESH:D024821,MESH:D053713,0.0
MESH:D024821,MESH:D010001,0.0
MESH:D024821,MESH:D010003,0.0
MESH:D024821,MESH:D010024,0.0
MESH:D024821,MESH:D010040,0.0
MESH:D024821,MESH:D010051,0.0
MESH:D024821,MESH:D010190,0.0
MESH:D024821,MESH:D010195,0.0
MESH:D024821,MESH:D010300,0.0
MESH:D024821,MESH:D010412,0.0
MESH:D024821,MESH:D010610,0.0
MESH:D024821,MESH:D011085,0.0
MESH:D024821,MESH:D011471,0.0
MESH:D024821,MESH:D011565,0.0
MESH:D024821,MESH:D012004,0.0
MESH:D024821,MESH:D012030,0.0
MESH:D024821,MESH:D012186,0.0
MESH:D024821,MESH:D012468,0.0
MESH:D024821,MESH:D045743,0.0
MESH:D024821,MESH:D012878,0.0
MESH:D024821,MESH:D013120,0.0
MESH:D024821,MESH:D013167,0.0
MESH:D024821,MESH:D013274,0.0
MESH:D024821,MESH:D013736,0.0
MESH:D024821,MESH:D013953,0.0
MESH:D024821,MESH:D013964,0.0
MESH:D024821,MESH:D014029,0.0
MESH:D024821,MESH:D014516,0.0
MESH:D024821,MESH:D014594,0.0
MESH:D024821,MESH:D014625,0.0
MESH:D024821,MESH:D014820,0.0
MESH:D024821,MESH:D014846,0.0
MESH:D024821,MESH:D015179,0.0
MESH:D024821,MESH:D015209,0.0
MESH:D024821,MESH:D015210,0.0
MESH:D024821,MESH:D015433,0.0
MESH:D024821,MESH:D015535,0.0
MESH:D024821,MESH:D016535,0.0
MESH:D024821,MESH:D016640,0.0
MESH:D024821,MESH:D017202,0.0
MESH:D024821,MESH:D017544,0.0
MESH:D024821,MESH:D017545,0.0
MESH:D024821,MESH:D018204,0.0
MESH:D024821,MESH:D019042,0.0
MESH:D024821,MESH:D019337,0.0
MESH:D024821,MESH:D019694,0.0
MESH:D024821,MESH:D012148,0.0
MESH:D024821,MESH:D018317,0.0
MESH:D024821,MESH:D001528,0.0
MESH:D024821,MESH:D006111,0.0
MESH:D024821,MESH:D053040,0.0
MESH:D024821,MESH:D002583,0.0
MESH:D024821,MESH:D008881,0.0
MESH:D024821,MESH:D001749,0.0
MESH:D024821,MESH:D005923,0.0
MESH:D024821,MESH:D054990,0.0
MESH:D024821,MESH:D055113,0.0
MESH:D024821,MESH:D065631,0.0
MESH:D000310,MESH:D000437,0.0
MESH:D000310,MESH:D000506,0.0
MESH:D000310,MESH:D000544,0.0
MESH:D000310,MESH:D000690,0.0
MESH:D000310,MESH:D000740,0.0
MESH:D000310,MESH:D001063,0.0
MESH:D000310,MESH:D001172,0.0
MESH:D000310,MESH:D050197,0.0
MESH:D000310,MESH:D001471,0.0
MESH:D000310,MESH:D001650,0.0
MESH:D000310,MESH:D001859,0.0
MESH:D000310,MESH:D001932,0.0
MESH:D000310,MESH:D002311,0.0
MESH:D000310,MESH:D002446,0.0
MESH:D000310,MESH:D002532,0.0
MESH:D000310,MESH:D002971,0.0
MESH:D000310,MESH:D003093,0.0
MESH:D000310,MESH:D003731,0.0
MESH:D000310,MESH:D003876,0.0
MESH:D000310,MESH:D003922,0.0
MESH:D000310,MESH:D003924,0.0
MESH:D000310,MESH:D004379,0.0
MESH:D000310,MESH:D004827,0.0
MESH:D000310,MESH:D004938,0.0
MESH:D000310,MESH:D005134,0.0
MESH:D000310,MESH:D005185,0.0
MESH:D000310,MESH:D005642,0.0
MESH:D000310,MESH:D005706,0.0
MESH:D000310,MESH:D005879,0.0
MESH:D000310,MESH:D005901,0.0
MESH:D000310,MESH:D005910,0.0
MESH:D000310,MESH:D005922,0.0
MESH:D000310,MESH:D006258,0.0
MESH:D000310,MESH:D006973,0.0
MESH:D000310,MESH:D007037,0.0
MESH:D000310,MESH:D007078,0.0
MESH:D000310,MESH:D007079,0.0
MESH:D000310,MESH:D007562,0.0
MESH:D000310,MESH:D007580,0.0
MESH:D000310,MESH:D051436,0.0
MESH:D000310,MESH:D007680,0.0
MESH:D000310,MESH:D007822,0.0
MESH:D000310,MESH:D007889,0.0
MESH:D000310,MESH:D007918,0.0
MESH:D000310,MESH:D008105,0.0
MESH:D000310,MESH:D008113,0.0
MESH:D000310,MESH:D029424,0.0
MESH:D000310,MESH:D008175,0.0
MESH:D000310,MESH:D008180,0.0
MESH:D000310,MESH:D008268,0.0
MESH:D000310,MESH:D008288,0.0
MESH:D000310,MESH:D008479,0.0
MESH:D000310,MESH:D008545,0.0
MESH:D000310,MESH:D008579,0.0
MESH:D000310,MESH:D009080,0.0
MESH:D000310,MESH:D009103,0.0
MESH:D000310,MESH:D009290,0.0
MESH:D000310,MESH:D009373,0.0
MESH:D000310,MESH:D009383,0.0
MESH:D000310,MESH:D009765,0.0
MESH:D000310,MESH:D053713,0.0
MESH:D000310,MESH:D010001,0.0
MESH:D000310,MESH:D010003,0.0
MESH:D000310,MESH:D010024,0.0
MESH:D000310,MESH:D010040,0.0
MESH:D000310,MESH:D010051,0.0
MESH:D000310,MESH:D010190,0.0
MESH:D000310,MESH:D010195,0.0
MESH:D000310,MESH:D010300,0.0
MESH:D000310,MESH:D010412,0.0
MESH:D000310,MESH:D010610,0.0
MESH:D000310,MESH:D011085,0.0
MESH:D000310,MESH:D011471,0.0
MESH:D000310,MESH:D011565,0.0
MESH:D000310,MESH:D012004,0.0
MESH:D000310,MESH:D012030,0.0
MESH:D000310,MESH:D012186,0.0
MESH:D000310,MESH:D012468,0.0
MESH:D000310,MESH:D045743,0.0
MESH:D000310,MESH:D012878,0.0
MESH:D000310,MESH:D013120,0.0
MESH:D000310,MESH:D013167,0.0
MESH:D000310,MESH:D013274,0.0
MESH:D000310,MESH:D013736,0.0
MESH:D000310,MESH:D013953,0.0
MESH:D000310,MESH:D013964,0.0
MESH:D000310,MESH:D014029,0.0
MESH:D000310,MESH:D014516,0.0
MESH:D000310,MESH:D014594,0.0
MESH:D000310,MESH:D014625,0.0
MESH:D000310,MESH:D014820,0.0
MESH:D000310,MESH:D014846,0.0
MESH:D000310,MESH:D015179,0.0
MESH:D000310,MESH:D015209,0.0
MESH:D000310,MESH:D015210,0.0
MESH:D000310,MESH:D015433,0.0
MESH:D000310,MESH:D015535,0.0
MESH:D000310,MESH:D016535,0.0
MESH:D000310,MESH:D016640,0.0
MESH:D000310,MESH:D017202,0.0
MESH:D000310,MESH:D017544,0.0
MESH:D000310,MESH:D017545,0.0
MESH:D000310,MESH:D018204,0.0
MESH:D000310,MESH:D019042,0.0
MESH:D000310,MESH:D019337,0.0
MESH:D000310,MESH:D019694,0.0
MESH:D000310,MESH:D012148,0.0
MESH:D000310,MESH:D018317,0.0
MESH:D000310,MESH:D001528,0.0
MESH:D000310,MESH:D006111,0.0
MESH:D000310,MESH:D053040,0.0
MESH:D000310,MESH:D002583,0.0
MESH:D000310,MESH:D008881,0.0
MESH:D000310,MESH:D001749,0.0
MESH:D000310,MESH:D005923,0.0
MESH:D000310,MESH:D054990,0.0
MESH:D000310,MESH:D055113,0.0
MESH:D000310,MESH:D065631,0.0
MESH:D000437,MESH:D000506,0.0
MESH:D000437,MESH:D000544,0.0
MESH:D000437,MESH:D000690,0.0
MESH:D000437,MESH:D000740,0.0
MESH:D000437,MESH:D001063,0.0
MESH:D000437,MESH:D001172,0.0
MESH:D000437,MESH:D050197,0.0
MESH:D000437,MESH:D001471,0.0
MESH:D000437,MESH:D001650,0.0
MESH:D000437,MESH:D001859,0.0
MESH:D000437,MESH:D001932,0.0
MESH:D000437,MESH:D002311,0.0
MESH:D000437,MESH:D002446,0.0
MESH:D000437,MESH:D002532,0.0
MESH:D000437,MESH:D002971,0.0
MESH:D000437,MESH:D003093,0.0
MESH:D000437,MESH:D003731,0.0
MESH:D000437,MESH:D003876,0.0
MESH:D000437,MESH:D003922,0.0
MESH:D000437,MESH:D003924,0.0
MESH:D000437,MESH:D004379,0.0
MESH:D000437,MESH:D004827,0.0
MESH:D000437,MESH:D004938,0.0
MESH:D000437,MESH:D005134,0.0
MESH:D000437,MESH:D005185,0.0
MESH:D000437,MESH:D005642,0.0
MESH:D000437,MESH:D005706,0.0
MESH:D000437,MESH:D005879,0.0
MESH:D000437,MESH:D005901,0.0
MESH:D000437,MESH:D005910,0.0
MESH:D000437,MESH:D005922,0.0
MESH:D000437,MESH:D006258,0.0
MESH:D000437,MESH:D006973,0.0
MESH:D000437,MESH:D007037,0.0
MESH:D000437,MESH:D007078,0.0
MESH:D000437,MESH:D007079,0.0
MESH:D000437,MESH:D007562,0.0
MESH:D000437,MESH:D007580,0.0
MESH:D000437,MESH:D051436,0.0
MESH:D000437,MESH:D007680,0.0
MESH:D000437,MESH:D007822,0.0
MESH:D000437,MESH:D007889,0.0
MESH:D000437,MESH:D007918,0.0
MESH:D000437,MESH:D008105,0.0
MESH:D000437,MESH:D008113,0.0
MESH:D000437,MESH:D029424,0.0
MESH:D000437,MESH:D008175,0.0
MESH:D000437,MESH:D008180,0.0
MESH:D000437,MESH:D008268,0.0
MESH:D000437,MESH:D008288,0.0
MESH:D000437,MESH:D008479,0.0
MESH:D000437,MESH:D008545,0.0
MESH:D000437,MESH:D008579,0.0
MESH:D000437,MESH:D009080,0.0
MESH:D000437,MESH:D009103,0.0
MESH:D000437,MESH:D009290,0.0
MESH:D000437,MESH:D009373,0.0
MESH:D000437,MESH:D009383,0.0
MESH:D000437,MESH:D009765,0.0
MESH:D000437,MESH:D053713,0.0
MESH:D000437,MESH:D010001,0.0
MESH:D000437,MESH:D010003,0.0
MESH:D000437,MESH:D010024,0.0
MESH:D000437,MESH:D010040,0.0
MESH:D000437,MESH:D010051,0.0
MESH:D000437,MESH:D010190,0.0
MESH:D000437,MESH:D010195,0.0
MESH:D000437,MESH:D010300,0.0
MESH:D000437,MESH:D010412,0.0
MESH:D000437,MESH:D010610,0.0
MESH:D000437,MESH:D011085,0.0
MESH:D000437,MESH:D011471,0.0
MESH:D000437,MESH:D011565,0.0
MESH:D000437,MESH:D012004,0.0
MESH:D000437,MESH:D012030,0.0
MESH:D000437,MESH:D012186,0.0
MESH:D000437,MESH:D012468,0.0
MESH:D000437,MESH:D045743,0.0
MESH:D000437,MESH:D012878,0.0
MESH:D000437,MESH:D013120,0.0
MESH:D000437,MESH:D013167,0.0
MESH:D000437,MESH:D013274,0.0
MESH:D000437,MESH:D013736,0.0
MESH:D000437,MESH:D013953,0.0
MESH:D000437,MESH:D013964,0.0
MESH:D000437,MESH:D014029,0.0
MESH:D000437,MESH:D014516,0.0
MESH:D000437,MESH:D014594,0.0
MESH:D000437,MESH:D014625,0.0
MESH:D000437,MESH:D014820,0.0
MESH:D000437,MESH:D014846,0.0
MESH:D000437,MESH:D015179,0.0
MESH:D000437,MESH:D015209,0.0
MESH:D000437,MESH:D015210,0.0
MESH:D000437,MESH:D015433,0.0
MESH:D000437,MESH:D015535,0.0
MESH:D000437,MESH:D016535,0.0
MESH:D000437,MESH:D016640,0.0
MESH:D000437,MESH:D017202,0.0
MESH:D000437,MESH:D017544,0.0
MESH:D000437,MESH:D017545,0.0
MESH:D000437,MESH:D018204,0.0
MESH:D000437,MESH:D019042,0.0
MESH:D000437,MESH:D019337,0.0
MESH:D000437,MESH:D019694,0.0
MESH:D000437,MESH:D012148,0.0
MESH:D000437,MESH:D018317,0.0
MESH:D000437,MESH:D001528,0.0
MESH:D000437,MESH:D006111,0.0
MESH:D000437,MESH:D053040,0.0
MESH:D000437,MESH:D002583,0.0
MESH:D000437,MESH:D008881,0.0
MESH:D000437,MESH:D001749,0.0
MESH:D000437,MESH:D005923,0.0
MESH:D000437,MESH:D054990,0.0
MESH:D000437,MESH:D055113,0.0
MESH:D000437,MESH:D065631,0.0
MESH:D000506,MESH:D000544,0.0
MESH:D000506,MESH:D000690,0.0
MESH:D000506,MESH:D000740,0.0
MESH:D000506,MESH:D001063,0.0
MESH:D000506,MESH:D001172,0.0
MESH:D000506,MESH:D050197,0.0
MESH:D000506,MESH:D001471,0.0
MESH:D000506,MESH:D001650,0.0
MESH:D000506,MESH:D001859,0.0
MESH:D000506,MESH:D001932,0.0
MESH:D000506,MESH:D002311,0.0
MESH:D000506,MESH:D002446,0.0
MESH:D000506,MESH:D002532,0.0
MESH:D000506,MESH:D002971,0.0
MESH:D000506,MESH:D003093,0.0
MESH:D000506,MESH:D003731,0.0
MESH:D000506,MESH:D003876,0.0
MESH:D000506,MESH:D003922,0.0
MESH:D000506,MESH:D003924,0.0
MESH:D000506,MESH:D004379,0.0
MESH:D000506,MESH:D004827,0.0
MESH:D000506,MESH:D004938,0.0
MESH:D000506,MESH:D005134,0.0
MESH:D000506,MESH:D005185,0.0
MESH:D000506,MESH:D005642,0.0
MESH:D000506,MESH:D005706,0.0
MESH:D000506,MESH:D005879,0.0
MESH:D000506,MESH:D005901,0.0
MESH:D000506,MESH:D005910,0.0
MESH:D000506,MESH:D005922,0.0
MESH:D000506,MESH:D006258,0.0
MESH:D000506,MESH:D006973,0.0
MESH:D000506,MESH:D007037,0.0
MESH:D000506,MESH:D007078,0.0
MESH:D000506,MESH:D007079,0.0
MESH:D000506,MESH:D007562,0.0
MESH:D000506,MESH:D007580,0.0
MESH:D000506,MESH:D051436,0.0
MESH:D000506,MESH:D007680,0.0
MESH:D000506,MESH:D007822,0.0
MESH:D000506,MESH:D007889,0.0
MESH:D000506,MESH:D007918,0.0
MESH:D000506,MESH:D008105,0.0
MESH:D000506,MESH:D008113,0.0
MESH:D000506,MESH:D029424,0.0
MESH:D000506,MESH:D008175,0.0
MESH:D000506,MESH:D008180,0.0
MESH:D000506,MESH:D008268,0.0
MESH:D000506,MESH:D008288,0.0
MESH:D000506,MESH:D008479,0.0
MESH:D000506,MESH:D008545,0.0
MESH:D000506,MESH:D008579,0.0
MESH:D000506,MESH:D009080,0.0
MESH:D000506,MESH:D009103,0.0
MESH:D000506,MESH:D009290,0.0
MESH:D000506,MESH:D009373,0.0
MESH:D000506,MESH:D009383,0.0
MESH:D000506,MESH:D009765,0.0
MESH:D000506,MESH:D053713,0.0
MESH:D000506,MESH:D010001,0.0
MESH:D000506,MESH:D010003,0.0
MESH:D000506,MESH:D010024,0.0
MESH:D000506,MESH:D010040,0.0
MESH:D000506,MESH:D010051,0.0
MESH:D000506,MESH:D010190,0.0
MESH:D000506,MESH:D010195,0.0
MESH:D000506,MESH:D010300,0.0
MESH:D000506,MESH:D010412,0.0
MESH:D000506,MESH:D010610,0.0
MESH:D000506,MESH:D011085,0.0
MESH:D000506,MESH:D011471,0.0
MESH:D000506,MESH:D011565,0.0
MESH:D000506,MESH:D012004,0.0
MESH:D000506,MESH:D012030,0.0
MESH:D000506,MESH:D012186,0.0
MESH:D000506,MESH:D012468,0.0
MESH:D000506,MESH:D045743,0.0
MESH:D000506,MESH:D012878,0.0
MESH:D000506,MESH:D013120,0.0
MESH:D000506,MESH:D013167,0.0
MESH:D000506,MESH:D013274,0.0
MESH:D000506,MESH:D013736,0.0
MESH:D000506,MESH:D013953,0.0
MESH:D000506,MESH:D013964,0.0
MESH:D000506,MESH:D014029,0.0
MESH:D000506,MESH:D014516,0.0
MESH:D000506,MESH:D014594,0.0
MESH:D000506,MESH:D014625,0.0
MESH:D000506,MESH:D014820,0.0
MESH:D000506,MESH:D014846,0.0
MESH:D000506,MESH:D015179,0.0
MESH:D000506,MESH:D015209,0.0
MESH:D000506,MESH:D015210,0.0
MESH:D000506,MESH:D015433,0.0
MESH:D000506,MESH:D015535,0.0
MESH:D000506,MESH:D016535,0.0
MESH:D000506,MESH:D016640,0.0
MESH:D000506,MESH:D017202,0.0
MESH:D000506,MESH:D017544,0.0
MESH:D000506,MESH:D017545,0.0
MESH:D000506,MESH:D018204,0.0
MESH:D000506,MESH:D019042,0.0
MESH:D000506,MESH:D019337,0.0
MESH:D000506,MESH:D019694,0.0
MESH:D000506,MESH:D012148,0.0
MESH:D000506,MESH:D018317,0.0
MESH:D000506,MESH:D001528,0.0
MESH:D000506,MESH:D006111,0.0
MESH:D000506,MESH:D053040,0.0
MESH:D000506,MESH:D002583,0.0
MESH:D000506,MESH:D008881,0.0
MESH:D000506,MESH:D001749,0.0
MESH:D000506,MESH:D005923,0.0
MESH:D000506,MESH:D054990,0.0
MESH:D000506,MESH:D055113,0.0
MESH:D000506,MESH:D065631,0.0
MESH:D000544,MESH:D000690,0.0
MESH:D000544,MESH:D000740,0.0
MESH:D000544,MESH:D001063,0.0
MESH:D000544,MESH:D001172,0.0
MESH:D000544,MESH:D050197,0.0
MESH:D000544,MESH:D001471,0.0
MESH:D000544,MESH:D001650,0.0
MESH:D000544,MESH:D001859,0.0
MESH:D000544,MESH:D001932,0.0
MESH:D000544,MESH:D002311,0.0
MESH:D000544,MESH:D002446,0.0
MESH:D000544,MESH:D002532,0.0
MESH:D000544,MESH:D002971,0.0
MESH:D000544,MESH:D003093,0.0
MESH:D000544,MESH:D003731,0.0
MESH:D000544,MESH:D003876,0.0
MESH:D000544,MESH:D003922,0.0
MESH:D000544,MESH:D003924,0.0
MESH:D000544,MESH:D004379,0.0
MESH:D000544,MESH:D004827,0.0
MESH:D000544,MESH:D004938,0.0
MESH:D000544,MESH:D005134,0.0
MESH:D000544,MESH:D005185,0.0
MESH:D000544,MESH:D005642,0.0
MESH:D000544,MESH:D005706,0.0
MESH:D000544,MESH:D005879,0.0
MESH:D000544,MESH:D005901,0.0
MESH:D000544,MESH:D005910,0.0
MESH:D000544,MESH:D005922,0.0
MESH:D000544,MESH:D006258,0.0
MESH:D000544,MESH:D006973,0.0
MESH:D000544,MESH:D007037,0.0
MESH:D000544,MESH:D007078,0.0
MESH:D000544,MESH:D007079,0.0
MESH:D000544,MESH:D007562,0.0
MESH:D000544,MESH:D007580,0.0
MESH:D000544,MESH:D051436,0.0
MESH:D000544,MESH:D007680,0.0
MESH:D000544,MESH:D007822,0.0
MESH:D000544,MESH:D007889,0.0
MESH:D000544,MESH:D007918,0.0
MESH:D000544,MESH:D008105,0.0
MESH:D000544,MESH:D008113,0.0
MESH:D000544,MESH:D029424,0.0
MESH:D000544,MESH:D008175,0.0
MESH:D000544,MESH:D008180,0.0
MESH:D000544,MESH:D008268,0.0
MESH:D000544,MESH:D008288,0.0
MESH:D000544,MESH:D008479,0.0
MESH:D000544,MESH:D008545,0.0
MESH:D000544,MESH:D008579,0.0
MESH:D000544,MESH:D009080,0.0
MESH:D000544,MESH:D009103,0.0
MESH:D000544,MESH:D009290,0.0
MESH:D000544,MESH:D009373,0.0
MESH:D000544,MESH:D009383,0.0
MESH:D000544,MESH:D009765,0.0
MESH:D000544,MESH:D053713,0.0
MESH:D000544,MESH:D010001,0.0
MESH:D000544,MESH:D010003,0.0
MESH:D000544,MESH:D010024,0.0
MESH:D000544,MESH:D010040,0.0
MESH:D000544,MESH:D010051,0.0
MESH:D000544,MESH:D010190,0.0
MESH:D000544,MESH:D010195,0.0
MESH:D000544,MESH:D010300,0.0
MESH:D000544,MESH:D010412,0.0
MESH:D000544,MESH:D010610,0.0
MESH:D000544,MESH:D011085,0.0
MESH:D000544,MESH:D011471,0.0
MESH:D000544,MESH:D011565,0.0
MESH:D000544,MESH:D012004,0.0
MESH:D000544,MESH:D012030,0.0
MESH:D000544,MESH:D012186,0.0
MESH:D000544,MESH:D012468,0.0
MESH:D000544,MESH:D045743,0.0
MESH:D000544,MESH:D012878,0.0
MESH:D000544,MESH:D013120,0.0
MESH:D000544,MESH:D013167,0.0
MESH:D000544,MESH:D013274,0.0
MESH:D000544,MESH:D013736,0.0
MESH:D000544,MESH:D013953,0.0
MESH:D000544,MESH:D013964,0.0
MESH:D000544,MESH:D014029,0.0
MESH:D000544,MESH:D014516,0.0
MESH:D000544,MESH:D014594,0.0
MESH:D000544,MESH:D014625,0.0
MESH:D000544,MESH:D014820,0.0
MESH:D000544,MESH:D014846,0.0
MESH:D000544,MESH:D015179,0.0
MESH:D000544,MESH:D015209,0.0
MESH:D000544,MESH:D015210,0.0
MESH:D000544,MESH:D015433,0.0
MESH:D000544,MESH:D015535,0.0
MESH:D000544,MESH:D016535,0.0
MESH:D000544,MESH:D016640,0.0
MESH:D000544,MESH:D017202,0.0
MESH:D000544,MESH:D017544,0.0
MESH:D000544,MESH:D017545,0.0
MESH:D000544,MESH:D018204,0.0
MESH:D000544,MESH:D019042,0.0
MESH:D000544,MESH:D019337,0.0
MESH:D000544,MESH:D019694,0.0
MESH:D000544,MESH:D012148,0.0
MESH:D000544,MESH:D018317,0.0
MESH:D000544,MESH:D001528,0.0
MESH:D000544,MESH:D006111,0.0
MESH:D000544,MESH:D053040,0.0
